Id,CreatedById,CreatedDate,FSL__Active__c,FSL__Boolean_Operator__c,FSL__Break_Duration__c,FSL__Break_Start__c,FSL__CountObject__c,FSL__CountTimeResolution__c,FSL__CountType__c,FSL__Crew_Resources_Availability__c,FSL__CustomFieldName__c,FSL__DefaultLimit__c,FSL__Description__c,FSL__Enable_Overtime__c,FSL__Enhanced_Match_Linking_Object__c,FSL__Evaluation_Order__c,FSL__Is_Fixed_Gap__c,FSL__Match_Constant_Boolean_Value__c,FSL__Match_Skill_Level__c,FSL__Maximum_Travel_From_Home_Type__c,FSL__Maximum_Travel_From_Home__c,FSL__Minimum_Gap__c,FSL__Object_Group_Field__c,FSL__Pass_Empty_Values__c,FSL__Resource_Group_Field__c,FSL__Resource_Property__c,FSL__Service_Appointment_Matching_Field__c,FSL__Service_Linking_Object_Reference_Field__c,FSL__Service_Property__c,FSL__Service_Schedule_Time_Property__c,FSL__Service_Time_Operator__c,FSL__Service_Time_Property__c,FSL__Start_of_Day__c,FSL__Travel_From_Home__c,FSL__Travel_To_Home__c,FSL__WorkRule_End_DateTime_Field__c,FSL__WorkRule_Start_DateTime_Field__c,FSL__Working_Location_Enable_Primary__c,FSL__isTimephased__c,IsDeleted,LastModifiedById,LastModifiedDate,LastReferencedDate,Name,OwnerId,RecordTypeId,SystemModstamp
a121j000002tnY0AAI,0052o000009WYLeAAO,2020-09-10T06:38:33.000+0000,True,=,,,ServiceAppointment,Daily,Assignments,False,,,,False,,9.0,False,True,True,Distance,,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WYLeAAO,2020-09-10T06:38:33.000+0000,,Match Territory,0052o000009WYLeAAO,0122o000000RD7mAAG,2020-09-10T06:38:33.000+0000
a121j000002tBxNAAU,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,,Required Service Resource,0052o000009OsBbAAK,0122o000000RD7pAAG,2020-06-09T11:06:51.000+0000
a121j000002tEhqAAE,0052o000009WYLeAAO,2020-06-17T09:18:46.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,HOT_IsEmployedInterpreter__c,,,HOT_IsEmployedInterpreter__c,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WYLeAAO,2020-06-17T09:18:46.000+0000,,Ansatte Tolk Required,0052o000009WYLeAAO,0122o000000RD7lAAG,2020-06-17T09:18:46.000+0000
a121j000002tBxIAAU,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,True,,,,,ServiceTerritory,SchedStartTime,Later than or Equal to,ArrivalWindowStartTime,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,,Scheduled Start,0052o000009OsBbAAK,0122o000000RD7sAAG,2020-06-09T11:06:51.000+0000
a121j000002tBxDAAU,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,IsActive,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,,Active Resources,0052o000009OsBbAAK,0122o000000RD7jAAG,2020-06-09T11:06:51.000+0000
a121j000002tBxFAAU,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,,Service Appointment Visiting Hours,0052o000009OsBbAAK,0122o000000RD7qAAG,2020-06-09T11:06:51.000+0000
a121j000002tBxKAAU,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,True,,,,,ServiceTerritory,SchedEndTime,Before or Equal to,DueDate,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,,Due Date,0052o000009OsBbAAK,0122o000000RD7sAAG,2020-06-09T11:06:51.000+0000
a121j000002tBxEAAU,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,50.0,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,,Maximum Travel From Home,0052o000009OsBbAAK,0122o000000RD7oAAG,2020-06-09T11:06:51.000+0000
a121j000002tBxJAAU,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,True,,,,,ServiceTerritory,SchedStartTime,Before or Equal to,ArrivalWindowEndTime,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,,Scheduled End,0052o000009OsBbAAK,0122o000000RD7sAAG,2020-06-09T11:06:51.000+0000
a121j000002tBxGAAU,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,,Service Crew Resources Availability,0052o000009OsBbAAK,0122o000000RD7kAAG,2020-06-09T11:06:51.000+0000
a121j000002tBxOAAU,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,False,Distance,,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,,Match Skills,0052o000009OsBbAAK,0122o000000RD7nAAG,2020-06-09T11:06:51.000+0000
a121j000002tBxHAAU,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,,Working Territories,0052o000009OsBbAAK,0122o000000RD7hAAG,2020-06-09T11:06:51.000+0000
a121j000002tBvwAAE,0052o000009OsBbAAK,2020-06-09T10:37:28.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,True,,,,,ServiceTerritory,SchedStartTime,Later than or Equal to,EarliestStartTime,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T10:37:28.000+0000,,Earliest Start Permitted,0052o000009OsBbAAK,0122o000000RD7sAAG,2020-06-09T10:37:28.000+0000
a121j000002tBxLAAU,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,True,,,,,ServiceTerritory,SchedStartTime,Later than or Equal to,EarliestStartTime,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,,Earliest Start Permitted,0052o000009OsBbAAK,0122o000000RD7sAAG,2020-06-09T11:06:51.000+0000
a121j000002tBvvAAE,0052o000009OsBbAAK,2020-06-09T10:37:28.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,True,,,,,ServiceTerritory,SchedEndTime,Before or Equal to,DueDate,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T10:37:28.000+0000,,Due Date,0052o000009OsBbAAK,0122o000000RD7sAAG,2020-06-09T10:37:28.000+0000
a121j000003SVSPAA4,0052o000009UtOjAAK,2021-02-09T08:01:23.000+0000,True,=,,,ServiceAppointment,Daily,Assignments,False,,,,False,HOT_ResourceMember__c,9.0,False,True,True,Distance,,,,False,,,HOT_PreferredResource__c,Resource__c,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009UtOjAAK,2021-02-09T08:01:23.000+0000,,Preferred Resource,0052o000009UtOjAAK,0122o000000RD7fAAG,2021-02-09T08:01:23.000+0000
a121j000002tBxQAAU,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,,Excluded Resources,0052o000009OsBbAAK,0122o000000RD7gAAG,2020-06-09T11:06:51.000+0000
a121j000002tBxMAAU,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,0.0,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,0.0,0.0,,,False,False,False,0052o000009OsBbAAK,2020-06-09T11:06:51.000+0000,,Resource Availability,0052o000009OsBbAAK,0122o000000RD7iAAG,2020-06-09T11:06:51.000+0000
a121j000002tEhvAAE,0052o000009WYLeAAO,2020-06-17T09:19:05.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,HOT_IsFreelanceInterpreter__c,,,HOT_IsReleasedToFreelance__c,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WYLeAAO,2020-06-17T09:19:05.000+0000,,Frilanse Tolk Required,0052o000009WYLeAAO,0122o000000RD7lAAG,2020-06-17T09:19:05.000+0000
